date,GDP,GDPM,EMP_CONS_CAN,TOT_HRS_CAN,NDM_new,IP_new,MANU_TOT_INV_new,RT_new,IMP_TRANSP_BP_new,EMP_SALES_CAN
1996-04-01,0.006938798,0.004133845,-0.009513393,0.002761029,0.011902851,0.004938858,0.002752492,0.010522549,0.041566325,-0.003515333
1996-07-01,0.008602624,0.008532423,0.010212775,0.008149353,0.012871714,0.015612439,0.002924659,0.012862053,0.06740759,-0.000525976
1996-10-01,0.008021406,0.008682023,-0.007438457,-0.000604977,0.004345542,0.002578539,0.017544617,0.008520582,-0.083034441,0.001608934
1997-01-01,0.013105491,0.010774877,0.015238301,0.002035298,-0.00258838,0.022796854,0.007245242,0.013260688,0.12181097,0.005064749
1997-04-01,0.011232988,0.011764273,0.000184971,0.007438517,0.005341937,0.011578044,0.017962249,0.014146296,0.040111338,0.00622032
1997-07-01,0.01176486,0.014561102,0.015553269,0.012984715,0.01369946,0.017361089,0.002402812,0.017664206,0.080698716,0.007744806
1997-10-01,0.00963664,0.009011186,-0.006393884,0.008047467,0.004271159,0.011701818,0.015712417,0.034230767,0.011324101,-0.007760545
1998-01-01,0.014025334,0.009671279,-0.001513102,-0.003210707,0.01061024,0.00665756,0.022168404,0.006449637,0.03609147,-0.007932286
1998-04-01,0.000533839,0.004096971,-0.003401364,0.007387942,0.00604326,0.000636691,0.017563058,0.028740577,-0.022451737,0.009520649
1998-07-01,0.009060929,0.005268902,0.017525892,0.006769382,-0.010622858,-0.00089484,0.027293585,-0.000897122,-0.012523538,0.009804383
1998-10-01,0.013514964,0.012397844,0.029203386,0.00850298,0.006460585,0.019435907,0.009762762,0.003553455,0.16138095,0.013231918
1999-01-01,0.017975628,0.017001536,-0.003653736,-0.002178222,0.014507846,0.020594142,0.017659108,0.022714943,0.018275827,0.017505318
1999-04-01,0.008330651,0.009757992,0.005453679,0.016451748,-0.005178328,0.006591907,0.021587092,-0.004986212,-0.018171512,0.005957682
1999-07-01,0.015525612,0.014423409,-0.001360634,0.001540465,0.010962715,0.024898529,0.034867515,0.010141637,0.041602551,0.004519748
1999-10-01,0.013968942,0.017312525,0.035127668,0.015075219,0.021369862,0.020072552,0.025043766,0.016188007,0.01341755,0.003235067
2000-01-01,0.015870748,0.011504123,0.027809189,0.003347824,0.015061008,0.019593046,0.027294071,0.024159504,0.024665884,0.011145351
2000-04-01,0.011815765,0.012747029,-0.005168611,0.004186251,0.031813657,0.014763642,0.027092148,0.009857111,-0.026780844,0.010308917
2000-07-01,0.010118453,0.012840324,0.006569864,0.001488315,0.034358597,0.013896585,0.029260212,0.028050862,-0.010787419,0.014692749
2000-10-01,0.00171061,0.005347055,-0.002721876,0.006725339,0.019011038,0.005582873,0.030360092,0.000717083,-0.028093017,0.003153266
2001-01-01,0.005282533,-0.001308309,0.01808856,0.001838008,-0.008032733,-0.029378305,0.005850106,0.012005089,-0.082780301,0.004511909
2001-04-01,0.002691276,0.001715279,0.012654316,-0.003884555,-0.005867203,-0.004883576,0.008721569,0.014081926,0.079338967,-0.000627022
2001-07-01,-0.000666364,0.00012346,-0.013384598,-0.003609896,-0.015047246,-0.021788914,-0.004043343,-0.00263823,-0.014638795,0.014294854
2001-10-01,0.006069834,0.005285524,0.004333306,-0.003112771,-0.002479874,-0.011506585,-0.018694403,0.037992954,0.001156635,0.008033858
2002-01-01,0.014733192,0.014590549,0.016631317,0.008297415,0.017742177,0.030133255,-0.01677358,0.026751432,0.059856965,-0.006054396
2002-04-01,0.005876433,0.009177292,0.022090357,0.009463318,0.01816561,0.01475928,-0.001551954,-0.00170688,0.033067111,0.010213852
2002-07-01,0.008617259,0.006615996,0.017037107,0.00643709,0.007573104,0.000922276,0.009726115,0.002154267,0.042515325,-0.000291572
2002-10-01,0.005471215,0.004301672,0.006931777,0.005367027,-0.008973036,-0.007973155,0.009619392,0.015431012,-0.014790609,0.006712317
2003-01-01,0.005518,0.00424719,0.015964796,0.007262881,-0.002606977,0.001123979,-0.019605539,0.003605086,-0.016977098,0.009540813
2003-04-01,-0.001475726,-0.000313706,0.003914483,-0.006162344,-0.007314543,-0.006689577,-0.005927731,0.01119611,-0.047966703,0.007133649
2003-07-01,0.00372958,0.005010289,0.029331917,0.000165466,-0.009923202,0.005538487,-0.016171402,0.015483044,-0.099816345,0.004439579
2003-10-01,0.006875899,0.011854916,0.000505726,0.014403117,0.010740428,0.015439147,-0.007933351,-0.003062251,0.061343371,0.010452308
2004-01-01,0.00717686,0.005498672,-0.001952067,0.005354283,-0.01022828,-0.000766184,-0.002895129,0.005040115,-0.01084495,-0.00064172
2004-04-01,0.011808198,0.011312626,0.023177003,0.005663524,-0.002772776,0.007103322,0.021212131,0.005764195,0.051674964,-0.003885842
2004-07-01,0.011735228,0.008723216,0.022098801,0.002341124,0.003011913,0.006708008,0.019632592,0.022426162,0.031825968,0.009287475
2004-10-01,0.007158582,0.005722074,0.026213105,0.005427763,-0.002528992,0.004438694,0.009664984,0.015654707,-0.058611475,0.008687876
2005-01-01,0.003454692,0.004559202,0.005141054,0.001086743,0.004893707,0.00296175,0.019786726,-0.009299299,0.023101733,0.011602351
2005-04-01,0.007229035,0.00960153,0.021452722,0.004226798,-0.012948043,0.005610358,-0.004693059,0.011713604,-0.007568222,-0.002270534
2005-07-01,0.012040964,0.009869958,0.008102501,0.002342716,0.000316481,0.007598009,-0.000493138,0.011770265,0.011617161,0.008015136
2005-10-01,0.009838783,0.009853161,0.028928035,0.004736928,0.004440574,0.012178345,-0.0036069,0.015981534,0.003904841,0.008889521
2006-01-01,0.008077245,0.009668424,0.010815675,0.004710206,0.000115165,0.00169035,0.003961176,0.027002387,-0.012098766,0.0072184
2006-04-01,0.000516331,0.002290498,0.001375,0.006823865,-0.022265038,-0.010286328,-0.007358974,0.010799218,0.014508896,0.006964064
2006-07-01,0.002788563,-0.000514326,-0.00128119,-0.002444263,-0.012910961,-0.014534893,0.005292622,0.00442646,0.010844602,-0.006020824
2006-10-01,0.003978059,0.003696079,0.021682491,-0.000597805,-0.023699912,-0.012545294,-7.87E-05,0.002279561,0.008922552,0.000229302
2007-01-01,0.006375897,0.008804726,0.01750094,0.003580468,-0.015870849,0.009943961,-0.000708014,0.007447044,0.04854728,0.00505674
2007-04-01,0.009642435,0.007345231,0.011449879,0.009830972,0.010337614,0.002745303,0.005859548,0.018558983,-0.051854978,0.010852615
2007-07-01,0.004189756,0.003740618,0.01126148,0.005789658,0.001746851,-0.00562845,-0.007685206,0.005745039,-0.019582448,0.008165451
2007-10-01,0.001135526,-0.000461025,0.005188878,0.003998101,-0.007052999,-0.016899415,-0.008371703,0.016021051,-0.049241988,-0.003362981
2008-01-01,0.000766112,-0.000146931,0.057496239,0.002215772,-0.026044106,-0.017822997,0.004806475,0.013811406,-0.059949359,0.00073584
2008-04-01,0.003610194,0.004303077,0.017459328,0.000578373,0.006375838,0.005475555,0.018048573,0.002016257,0.034128441,-0.003059156
2008-07-01,0.008166999,0.006758227,0.013633513,-0.000284883,-0.00899216,0.008396378,0.018350218,0.003642661,-0.001634169,-0.004675454
2008-10-01,-0.011662933,-0.012951105,0.00229879,-0.007620334,-0.028752014,-0.037643395,0.002239726,-0.0249624,-0.07381351,-0.000175913
2009-01-01,-0.022856083,-0.025827306,-0.035381241,-0.01748691,-0.042875552,-0.062388473,-0.035583612,-0.016458565,-0.345998317,-0.00293224
2009-04-01,-0.010972565,-0.010032086,-0.03052879,-0.012724651,-0.028806657,-0.044197543,-0.042475999,0.004885264,0.024085624,-0.009153875
2009-07-01,0.004489293,0.005317461,0.009960213,0.0020011,0.000326374,-0.001075282,-0.037152063,0.010939674,0.232158139,-0.001412816
2009-10-01,0.011594098,0.011137555,0.018658145,0.003940026,0.016615094,0.01868869,-0.018015798,-0.001519112,0.052231224,0.004359299
2010-01-01,0.011991232,0.01388099,0.008004901,0.012933386,0.021303142,0.025183237,-0.011805139,0.026343563,0.059193852,0.004681242
2010-04-01,0.005218967,0.00790781,0.02709502,0.007408715,0.000783152,0.029375933,-0.007583241,-0.010283986,0.019901017,0.016971197
2010-07-01,0.007061955,0.006152007,-0.006307984,-0.003425806,-0.00958699,0.01125475,0.019087105,0.007128501,-0.034814216,-0.001676759
2010-10-01,0.011113072,0.010055432,0.010766615,0.008510884,-0.019077901,0.011774958,0.016802225,0.004985045,-0.005665996,-0.002863191
2011-01-01,0.007525086,0.009541642,0.010335598,0.003398579,0.014187227,0.011327127,0.019352415,-0.003248297,0.071547967,0.002303646
2011-04-01,0.00194617,0.003009933,0.006360074,0.002432503,-0.007746768,0.000374091,0.0388298,0.008228172,-0.08376307,-0.008142513
2011-07-01,0.013702092,0.012849321,0.023355626,0.009405999,0.013070657,0.025062098,0.015110049,-0.001824382,0.083140867,0.008242011
2011-10-01,0.007844285,0.005095894,0.004290427,-0.000267542,0.002339323,0.002778632,0.014119341,0.009426581,0.032094082,-0.008906825
2012-01-01,0.000640668,0.001763885,-0.005673412,0.002410096,-0.005492436,-0.008397728,0.000205668,-0.006706886,0.0602021,-0.008657735
2012-04-01,0.00325633,0.005359027,0.014957163,0.007827454,-0.005381193,0.000440087,0.009278212,-0.002390591,0.034384719,0.002654433
2012-07-01,0.001361244,0.001907805,0.001412893,0.003013499,-0.0024298,-0.015667463,0.005211843,0.004483042,-0.027819171,-0.004275835
2012-10-01,0.00206568,0.002269937,0.00186398,-0.000571969,-0.005244149,-0.000548317,0.003247555,0.009586275,-0.028297966,0.009864974
2013-01-01,0.008930057,0.010792513,0.011186163,0.003756975,0.002597055,0.017337689,0.007712154,0.024506345,0.032769514,0.002407283
2013-04-01,0.005786796,0.005733285,0.01968844,0.001830471,-0.003673675,-0.001750125,-0.003603115,0.017196384,0.011130123,0.004734934
2013-07-01,0.008116704,0.007916996,-0.000610195,0.000314061,-0.007022314,0.009841413,0.00469873,0.01267487,0.016001847,0.004749835
2013-10-01,0.010450795,0.008707683,-0.013271921,0.002045261,0.020852302,0.016987539,0.007514653,0.005588584,0.009507374,0.002453107
2014-01-01,0.001633143,0.004400823,-0.000371191,0.00296957,-0.001522328,0.010087262,0.031182024,0.003576756,-0.009045253,0.000618521
2014-04-01,0.009091835,0.009552586,-0.000693258,-0.0063764,0.019540618,0.025735639,0.00176217,-0.011150005,0.055788285,-0.000358696
2014-07-01,0.009544816,0.004699255,0.013823518,0.001812684,0.00689681,-0.004177582,-0.005253542,0.001860282,0.011453622,0.005723747
2014-10-01,0.006895925,0.007892705,0.00802885,0.004339436,0.009290908,0.013986858,-0.002054826,0.000716822,0.039101889,-0.001551056
