date,GDP,IP,EMP
1994-10-01,0.000787609,-0.003503202,-0.000614901
1994-11-01,0.004160027,0.011176826,0.006841256
1994-12-01,0.006170069,0.016179011,-0.00101113
1995-01-01,0.001306205,0.010626964,0.001787648
1995-02-01,-1.55E-05,0.000124952,-0.000542745
1995-03-01,-0.002708846,-0.007151977,0.002124071
1995-04-01,0.001558214,-0.002146264,-0.001626543
1995-05-01,0.001274946,-0.001009402,-0.000233656
1995-06-01,0.001755472,-0.001834485,0.000934298
1995-07-01,0.000373386,-0.003166779,0.000180731
1995-08-01,0.002370672,0.002215454,0.001294284
1995-09-01,-0.001750657,-0.003169798,0.002508545
1995-10-01,-0.001241607,-0.000508101,0.001184488
1995-11-01,0.003734475,0.002537929,-0.002400421
1995-12-01,-0.001935183,-0.004704961,0.003134399
1996-01-01,0.004237997,0.009705533,0.00132429
1996-02-01,-0.001158464,-0.000252239,0.001860021
1996-03-01,-0.002536447,-0.006331434,-0.001658165
1996-04-01,0.003957041,0.005064608,0.002008865
1996-05-01,0.002927386,0.005043741,0.001602702
1996-06-01,0.000906556,0.002449689,-0.000946402
1996-07-01,0.003635684,0.010111524,0.002048166
1996-08-01,0.004538106,0.003408987,0.001204595
1996-09-01,0.000869096,-0.000247368,-0.003140935
1996-10-01,0.004997257,-0.003161619,-0.000119282
1996-11-01,0.005080205,0.015528085,0.002137461
1996-12-01,-0.005383136,-0.016834193,0.001798776
1997-01-01,0.008521523,0.023567527,0.005199704
1997-02-01,0.006273275,0.010948944,0.000162518
1997-03-01,-0.000102604,-0.006013589,0.002338803
1997-04-01,0.006748576,0.013686635,0.000103165
1997-05-01,0.003541479,0.001619759,0.004851452
1997-06-01,0.001892361,-0.008478107,0.003864287
1997-07-01,0.010697121,0.024492091,0.003026824
1997-08-01,0.001255998,-0.00220566,0.004896415
1997-09-01,0.001738611,-0.001631765,0.001238462
1997-10-01,0.003865088,0.011644365,0.00123693
1997-11-01,0.000800454,0.001193856,0.001906647
1997-12-01,0.009046356,0.00326651,0.001110534
1998-01-01,-0.004400122,-0.007378286,-0.000728198
1998-02-01,0.009760106,0.012238015,0.003578208
1998-03-01,0.003782127,0.009805227,0.002505035
1998-04-01,0.000126419,-0.00439529,0.002019552
1998-05-01,-0.002240689,-0.008018349,0.001122595
1998-06-01,-0.000835137,-0.000615328,0.000892886
1998-07-01,-0.000547027,-0.015736451,0.004132591
1998-08-01,0.009366193,0.025356674,0.002691237
1998-09-01,0.002599045,0.00283423,0.002761807
1998-10-01,0.003519298,0.002024279,0.00132155
1998-11-01,0.00199215,0.002807289,0.002785782
1998-12-01,0.008049035,0.015717416,7.75E-05
1999-01-01,0.008017131,0.011084274,0.005148695
1999-02-01,0.004197101,-0.000949883,-0.000700854
1999-03-01,0.000361202,-0.003743908,0.001079112
1999-04-01,0.0050402,0.006086395,0.002650787
1999-05-01,0.001488362,-0.001865822,0.002518375
1999-06-01,0.00624731,0.013633239,0.001413369
1999-07-01,0.003963039,0.005679017,0.004020294
1999-08-01,0.005246301,0.00950553,0.001447233
1999-09-01,0.007062671,0.013226909,0.001576415
1999-10-01,0.002895345,-0.005575857,0.00276654
1999-11-01,0.009429314,0.012740598,0.002387827
1999-12-01,0.005244839,0.015475985,0.004245446
2000-01-01,0.000572648,0.003822841,0.002829417
2000-02-01,0.001331336,-0.003865097,0.001329928
2000-03-01,0.010197431,0.011497053,0.001722864
2000-04-01,-0.000769695,-0.002817758,0.001713109
2000-05-01,0.007394633,0.015068782,0.000930103
2000-06-01,0.003842278,0.003372188,0.000705487
2000-07-01,0.003968252,4.99E-05,0.000244091
2000-08-01,0.005125529,0.01008908,0.001348207
2000-09-01,0.001177123,-0.000395564,0.002832758
2000-10-01,0.002137434,0.002214306,0.00155831
2000-11-01,0.00047843,-7.55E-05,0.002430429
2000-12-01,0.001123031,0.000992305,0.003262689
2001-01-01,-0.001330806,-0.025920082,-0.001717291
2001-02-01,-0.001612585,-0.002353959,-0.000705212
2001-03-01,0.000578591,-0.007600182,0.000322444
2001-04-01,-0.000127856,0.003373008,0.002254202
2001-05-01,0.003302414,0.001335254,0.001600349
2001-06-01,-0.000512656,-0.009882867,-0.001586946
2001-07-01,-0.001526432,-0.014021182,0.001593637
2001-08-01,0.003785933,0.005284056,0.000147183
2001-09-01,-0.004792873,-0.015450561,0.001624261
2001-10-01,0.004409764,0.002967306,0.000273792
2001-11-01,0.005313941,0.000894645,0.000894311
2001-12-01,-0.002111217,-0.019677626,-0.001649091
2002-01-01,0.011105364,0.034564902,0.003588465
2002-02-01,0.005295988,0.013425694,0.001523534
2002-03-01,-0.001148801,-0.001625978,0.005185207
2002-04-01,0.006913335,0.014169538,0.003123321
2002-05-01,0.001325777,-0.000604054,0.003580129
2002-06-01,0.001038348,-0.007154937,0.004071269
2002-07-01,0.003770747,0.010322159,0.00260712
2002-08-01,0.003641685,-0.002065985,0.005382183
2002-09-01,-0.002331334,-0.009145567,-0.000110346
2002-10-01,0.005904876,0.006740224,0.000901886
2002-11-01,-0.00048655,-0.006316321,0.003114652
2002-12-01,-0.003026554,-0.011228199,0.003710651
2003-01-01,0.004893351,0.010911781,0.001255275
2003-02-01,0.00281345,0.001595993,0.003685894
2003-03-01,-0.001144092,-0.003711998,0.000519043
2003-04-01,-0.00317271,-0.003608716,-0.001057594
2003-05-01,0.003007088,0.00064837,-0.001180698
2003-06-01,0.002133178,-0.004713251,0.003352363
2003-07-01,0.00485713,0.010884698,0.001362089
2003-08-01,-0.009541456,-0.013517168,-0.000607275
2003-09-01,0.012642806,0.019707076,0.002286547
2003-10-01,0.004904536,0.005633252,0.003489983
2003-11-01,0.001079206,0.000824883,0.003110324
2003-12-01,0.003414461,0.002009276,0.002696238
2004-01-01,-6.86E-05,-0.00415539,-8.85E-05
2004-02-01,0.000518283,-0.003449905,0.000455025
2004-03-01,0.007602247,0.012150224,0.000593749
